key	fr	es	it	ja	ko
That does not look like an email address.	Cela ne ressemble pas à une adresse e-mail.	Eso no parece una dirección de correo.	Non sembra un indirizzo e-mail.	メールアドレスの形式ではありません。	이메일 주소 형식이 아닙니다.
Another account already uses that address.	Un autre compte utilise déjà cette adresse.	Otra cuenta ya usa esa dirección.	Un altro account usa già questo indirizzo.	このアドレスは別のアカウントで使われています。	다른 계정이 이미 이 주소를 사용 중입니다.
Two letters: CA, US, FR, JP...	Deux lettres : CA, US, FR, JP...	Dos letras: CA, US, FR, JP...	Due lettere: CA, US, FR, JP...	2文字：CA、US、FR、JP...	두 글자: CA, US, FR, JP...
The current password is wrong.	Le mot de passe actuel est incorrect.	La contraseña actual es incorrecta.	La password attuale non è corretta.	現在のパスワードが違います。	현재 비밀번호가 틀렸습니다.
A password is at least 8 characters.	Un mot de passe fait au moins 8 caractères.	La contraseña tiene al menos 8 caracteres.	La password deve avere almeno 8 caratteri.	パスワードは8文字以上です。	비밀번호는 8자 이상이어야 합니다.
The two new passwords differ.	Les deux nouveaux mots de passe sont différents.	Las dos contraseñas nuevas no coinciden.	Le due nuove password non coincidono.	新しいパスワードが一致しません。	두 새 비밀번호가 서로 다릅니다.
The server could not be reached.	Impossible de joindre le serveur.	No se pudo contactar con el servidor.	Impossibile raggiungere il server.	サーバーに接続できませんでした。	서버에 연결할 수 없습니다.
%u G   your account	%u G   votre compte	%u G   tu cuenta	%u G   il tuo account	%u G   あなたのアカウント	%u G   내 계정
Sign out	Se déconnecter	Cerrar sesión	Esci	サインアウト	로그아웃
Recovery email	E-mail de récupération	Correo de recuperación	E-mail di recupero	復旧用メールアドレス	복구용 이메일
None. If you forget your password, this account cannot be recovered.	Aucun. Si vous oubliez votre mot de passe, ce compte ne pourra pas être récupéré.	Ninguno. Si olvidas tu contraseña, esta cuenta no se podrá recuperar.	Nessuno. Se dimentichi la password, questo account non potrà essere recuperato.	未設定です。パスワードを忘れると、このアカウントは復旧できません。	없음. 비밀번호를 잊으면 이 계정은 복구할 수 없습니다.
A code can be sent to %s if you forget your password.	Un nouveau mot de passe peut être envoyé à %s si vous oubliez le vôtre.	Se puede enviar una nueva contraseña a %s si olvidas la tuya.	Una nuova password può essere inviata a %s se dimentichi la tua.	パスワードを忘れた場合は %s に新しいパスワードを送れます。	비밀번호를 잊으면 %s(으)로 새 비밀번호를 보낼 수 있습니다.
Only for getting back in. Nothing else is ever sent to it - no news, no updates - and it is never shown to other players.	Uniquement pour récupérer l'accès. Rien d'autre n'y est jamais envoyé - ni actualités, ni mises à jour - et elle n'est jamais montrée aux autres joueurs.	Solo para recuperar el acceso. Nunca se envía nada más - ni noticias, ni novedades - y nunca se muestra a otros jugadores.	Solo per rientrare. Non viene mai inviato altro - niente notizie, niente aggiornamenti - e non è mai mostrata agli altri giocatori.	復旧のためだけに使います。お知らせや更新情報など他のメールは一切送らず、他のプレイヤーに表示されることもありません。	복구 용도로만 사용됩니다. 소식이나 업데이트 등 다른 메일은 절대 보내지 않으며, 다른 플레이어에게 표시되지 않습니다.
Save##email	Enregistrer##email	Guardar##email	Salva##email	保存##email	저장##email
Remove##email	Retirer##email	Quitar##email	Rimuovi##email	削除##email	제거##email
Saving...	Enregistrement...	Guardando...	Salvataggio...	保存中...	저장 중...
Country	Pays	País	Paese	国	국가
